idx,sta,kind,recorder,sensor,sensor_sn,lat,lon,elev_m,start,end,days,operator
116,BG1,EDL,3028,L4-3D,1351A,-7.42543,110.10267,1300,2004-07-01T04:15:00.000000Z,2004-10-06T05:00:00.000000Z,97.03,Mirjam
117,NK6,EDL,3023,L4-3D,1012,-6.75551,111.22728,45,2004-07-06T04:00:00.000000Z,2004-09-25T05:00:00.000000Z,81.04,Rizkita
118,AH5,EDL,3105,T40,4447,-7.74402,110.28101,170,2004-07-13T02:30:00.000000Z,2004-10-08T07:00:00.000000Z,87.19,Pit
119,BI3,EDL,3149,T40,4446,-7.6075,110.44533,830,2004-07-13T00:00:00.000000Z,2004-08-25T09:45:00.000000Z,43.41,Yuan
120,CK4,EDL,3107,L4-3D,1905,-7.48169,110.95802,126,2004-07-21T08:00:00.000000Z,2004-10-07T10:00:00.000000Z,78.08,Ingo
121,DI3,EDL,3086,L4-3D,1345A,-7.0383,110.67219,32,2004-07-20T09:00:00.000000Z,2004-09-28T10:00:00.000000Z,70.04,Mirjam
122,CJ3,EDL,3146,L4-3D,2828,-7.45577,110.83399,140,2004-07-15T04:30:00.000000Z,2004-10-07T03:00:00.000000Z,83.94,Yuan
123,AI4,EDL,3092,L4-3D,1181,-7.91245,110.52223,245,2004-07-31T02:30:00.000000Z,2004-09-29T05:00:00.000000Z,60.1,Welle /Wanagama
124,BK2,EDL,3122,L4-3D,1339A,-7.65885,110.88086,132,2004-07-27T04:30:00.000000Z,2004-09-29T04:50:00.000000Z,64.01,Birger
125,CG1,EDL,3136,T40,4456,-7.26988,109.99025,1866,2004-08-10T04:30:00.000000Z,2004-10-08T05:00:00.000000Z,59.02,Pit
126,BI3,EDL,3043,T40,4446,-7.6075,110.44533,830,2004-08-25T09:45:00.000000Z,2004-09-29T07:45:00.000000Z,34.92,Yuan
127,AK6,EDL,3149,L4-3D,1889,-8.03797,110.7436,423,2004-09-02T06:00:00.000000Z,2004-10-06T10:00:00.000000Z,34.17,Diana
128,AK7,EDL,3097,L4-3D,1356A,-8.08392,110.83837,256,2004-09-03T06:00:00.000000Z,2004-10-06T08:00:00.000000Z,33.08,Diana
129,AK8,EDL,3078,L4-3D,1331A,-7.99222,111.04803,529,2004-09-04T08:00:00.000000Z,2004-09-08T04:00:00.000000Z,3.83,Diana
130,AL1,EDL,3137,L4-3D,1906,-8.02378,111.23701,633,2004-09-08T08:00:00.000000Z,2004-10-08T15:00:00.000000Z,30.29,Diana
131,AL2,EDL,3033,L4-3D,1170,-8.13282,111.26792,639,2004-09-08T02:00:00.000000Z,2004-10-04T05:00:00.000000Z,26.12,Diana
132,AL3,EDL,3055,L4-3D,1329,-8.24568,111.17509,380,2004-09-10T03:00:00.000000Z,2004-10-06T05:00:00.000000Z,26.08,Diana
133,AL4,EDL,3059,L4-3D,1872,-8.19173,111.03901,368,2004-09-10T06:00:00.000000Z,2004-10-06T07:00:00.000000Z,26.04,Diana
134,AI4,EDL,3092,L4-3D,1334,-7.91245,110.52223,245,2004-09-29T05:00:00.000000Z,2004-10-05T08:00:00.000000Z,6.12,Welle /Wanagama
