time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc,quality_pass
1086706063.641803,-9.048166,110.728781,29.777995,0.361872,24,311.755,107.651,5.36,12.84,2004-06-08 14:47:43.641803026+00:00,False
1086708149.697773,-8.224813,110.81477,87.674805,0.271092,33,240.21,9.0078,4.49,2.03,2004-06-08 15:22:29.697772980+00:00,True
1086733912.499081,-8.617388,111.523944,22.448242,0.226704,26,325.821,85.7084,4.96,7.23,2004-06-08 22:31:52.499080896+00:00,False
1086738031.344698,-8.610801,111.517264,25.166016,0.211152,13,343.799,84.6897,9.2,10.65,2004-06-08 23:40:31.344697952+00:00,False
1086741388.358947,-8.71619,110.296749,38.013672,0.305481,17,314.024,75.66,7.33,10.42,2004-06-09 00:36:28.358947039+00:00,False
1086754419.225277,-8.515951,110.206269,83.474609,0.146728,15,324.113,61.9167,11.81,11.03,2004-06-09 04:13:39.225276947+00:00,False
1086755330.313056,-8.189245,109.083194,79.521484,0.282157,16,308.141,72.1965,14.31,16.85,2004-06-09 04:28:50.313055992+00:00,False
1086772482.818128,-8.355232,111.00262,106.699219,0.0828731,9,316.111,57.546,35.25,20.92,2004-06-09 09:14:42.818128109+00:00,False
1086794543.828344,-8.369723,110.713694,34.142904,0.16628,14,280.571,45.4587,4.24,6.72,2004-06-09 15:22:23.828344107+00:00,True
1086802389.9476,-8.235352,111.424418,122.923503,0.358281,57,279.886,53.2283,4.25,2.34,2004-06-09 17:33:09.947599888+00:00,True
1086810136.060178,-8.367089,110.322221,105.463867,0.493394,48,238.566,40.398,5.82,3.2,2004-06-09 19:42:16.060178041+00:00,False
1086823123.655821,-8.194514,109.663471,86.76888,0.387863,17,258.099,57.9508,14.14,13.27,2004-06-09 23:18:43.655821085+00:00,False
1086840289.038683,-8.894034,110.167318,22.612956,0.447575,62,286.298,99.5984,3.18,4.0,2004-06-10 04:04:49.038682938+00:00,True
1086842098.413959,-8.30649,109.656581,65.273763,0.317221,41,260.925,67.5804,4.68,7.64,2004-06-10 04:34:58.413959026+00:00,True
1086854169.297735,-8.776789,110.629961,53.990885,0.225238,15,315.274,71.7923,7.06,12.24,2004-06-10 07:56:09.297734976+00:00,False
