idx,time_utc,latitude,longitude,depth,n_picks,n_stations,n_P,n_S
62,2004-06-11T22:12:38.621892Z,-8.782020078412868,110.58639955730175,62.98828125,9,6,4,5
63,2004-06-11T22:21:47.448362Z,-8.294635425036118,110.16669058629076,90.33203125,30,18,15,15
64,2004-06-12T00:51:20.808853Z,-9.102888441032357,110.57372942329374,62.01171875,21,13,12,9
65,2004-06-12T08:26:59.986888Z,-9.552204373999167,111.76030494842674,62.98828125,18,14,8,10
66,2004-06-12T13:18:55.210994Z,-8.306599944866631,110.28112050158883,30.76171875,24,14,13,11
67,2004-06-12T16:09:13.532673Z,-8.959814662303065,109.91135661784523,16.11328125,57,43,36,21
68,2004-06-12T17:33:32.725824Z,-8.448951151172073,111.00609220362578,89.35546875,17,9,9,8
69,2004-06-12T17:52:39.843855Z,-8.389174112362145,111.23493318316801,103.02734375,22,14,12,10
70,2004-06-12T19:24:08.370209Z,-8.23504204870797,111.00581901267925,117.67578125,8,5,4,4
71,2004-06-12T21:09:56.032055Z,-8.520473254656197,110.21738555635685,39.55078125,25,13,13,12
72,2004-06-12T22:31:08.027504Z,-7.474277630734042,109.862797380954,13.18359375,12,6,6,6
73,2004-06-13T06:09:42.150993Z,-8.172737899763684,108.89585129237516,125.48828125,21,15,10,11
74,2004-06-13T07:35:32.274297Z,-8.74632563388985,110.30632634651566,13.18359375,58,35,34,24
75,2004-06-13T15:13:02.629684Z,-9.028000076898989,112.12778494087776,219.23828125,18,15,14,4
76,2004-06-13T16:35:37.881345Z,-8.877094576477846,110.43360397298271,45.41015625,11,6,6,5
77,2004-06-13T17:11:02.440166Z,-8.73423868483253,110.94282068477588,50.29296875,11,7,6,5
78,2004-06-13T20:06:01.726392Z,-6.711920071408907,111.96681112711451,9.27734375,37,28,27,10
