id,latitude,longitude,elevation,x,y,z
AI1,-7.9955,110.487,180.0,-1.8350196152064562,26.915260156127438,-0.18
AI2a,-8.00531,110.35599,390.0,-16.27777894299376,25.8274315433662,-0.39
AI2b,-8.00531,110.35599,390.0,-16.27777894299376,25.8274315433662,-0.39
AI3,-7.86492,110.56426,250.0,6.6845790461698344,41.356362645297494,-0.25
AJ1,-8.0925,110.5718,240.0,7.511929452324169,16.186854189328812,-0.24
AJ2,-7.96585,110.64945,230.0,16.07537371114664,30.19162462304322,-0.23
AI4a,-7.91245,110.52223,245.0,2.0493062130517963,36.100211123875866,-0.245
AI4b,-7.91245,110.52223,245.0,2.0493062130517963,36.100211123875866,-0.245
AI4c,-7.91245,110.52223,245.0,2.0493062130517963,36.100211123875866,-0.245
AH3,-7.74756,110.17489,400.0,-36.26516915750712,54.32222195833978,-0.4
AK1,-7.97297,110.83443,232.0,36.469418956449985,29.392416107527854,-0.232
AK2,-8.14749,110.77555,292.0,29.964936965823803,10.095708692618858,-0.292
AK4,-8.17903,110.88225,200.0,41.720540741673304,6.597955862678211,-0.2
BH1,-7.6315,110.18065,417.0,-35.63945552760062,67.15846515496902,-0.417
BH2a,-7.52649,110.41065,1285.0,-10.263559905073175,78.78414821830692,-1.285
BH2b,-7.52649,110.41065,1285.0,-10.263559905073175,78.78414821830692,-1.285
BI1,-7.58026,110.4713,1125.0,-3.569371297094289,72.83849574177948,-1.125
BI2,-7.53275,110.55353,650.0,5.505566803530483,78.09261068971874,-0.65
BI4,-7.60581,110.52957,582.0,2.8607353449883286,70.01287484116679,-0.582
BJ1a,-7.76979,110.63866,154.0,14.892740856447073,51.87535955300871,-0.154
BJ1b,-7.76979,110.63866,154.0,14.892740856447073,51.87535955300871,-0.154
BJ2,-7.84295,110.76014,230.0,28.287658823824856,43.7779786822241,-0.23
BK1,-7.86135,110.84589,214.0,37.74306827578532,41.73625255577324,-0.214
BK2a,-7.65885,110.88086,132.0,41.619550286569776,64.12880254732715,-0.132
BK2b,-7.65885,110.88086,132.0,41.619550286569776,64.12880254732715,-0.132
BK2c,-7.65885,110.88086,132.0,41.619550286569776,64.12880254732715,-0.132
BK3,-7.72834,110.98596,304.0,53.20720431478114,56.431756048424226,-0.304
AE1,-7.7362,109.6564,50.0,-93.4654346204209,55.49957210104197,-0.05
AE2a,-7.6763,109.4866,50.0,-112.21476495254574,62.08415000712226,-0.05
AE2b,-7.6763,109.4866,50.0,-112.21476495254574,62.08415000712226,-0.05
AE3,-7.5556,109.5844,255.0,-101.45153098490505,75.45884843176171,-0.255
AF1,-7.82125,109.83342,42.0,-73.92126629229709,46.12769041797281,-0.042
AF2,-7.6511,109.8954,120.0,-67.111924848182,64.95673584499372,-0.12
AG1,-7.83642,110.04642,215.0,-50.42639283004076,44.48137027655309,-0.215
AG2a,-7.63401,109.99567,210.0,-56.050353882648025,66.86120715762135,-0.21
AG2b,-7.63401,109.99567,210.0,-56.050353882648025,66.86120715762135,-0.21
AG3a,-7.84336,109.94033,40.0,-62.1261395539123,43.699597076887606,-0.04
