time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc,quality_pass
1086754419.14551,-8.569286,110.13123,73.26237,0.0695969,12,333.984,71.8295,13.4,16.0,2004-06-09 04:13:39.145509958+00:00,False
1086755330.278553,-8.250484,109.037263,56.955729,0.23251,11,338.115,120.18,15.66,26.74,2004-06-09 04:28:50.278553009+00:00,False
1086772482.892005,-8.3427,110.994177,107.193359,0.0864883,9,315.248,55.9382,25.84,17.9,2004-06-09 09:14:42.892004967+00:00,False
1086794543.830795,-8.380903,110.702617,30.025065,0.226316,13,305.163,36.1108,5.0,9.92,2004-06-09 15:22:23.830795050+00:00,False
1086802389.611377,-8.416472,111.383145,120.370443,0.389226,28,323.341,77.9021,13.92,4.97,2004-06-09 17:33:09.611377001+00:00,False
1086810136.455518,-8.301862,110.321802,105.628581,0.447897,32,255.96,33.1884,10.2,4.73,2004-06-09 19:42:16.455518007+00:00,False
1086823123.459301,-8.168808,109.663053,89.733724,0.415615,13,300.245,56.0694,16.71,13.63,2004-06-09 23:18:43.459300995+00:00,False
1086840289.15685,-8.892041,110.177657,22.283529,0.387092,47,308.804,98.9049,3.71,4.98,2004-06-10 04:04:49.156850100+00:00,False
1086842098.394976,-8.311083,109.657458,65.35612,0.336258,28,297.98,67.9209,8.37,11.96,2004-06-10 04:34:58.394975901+00:00,False
1086854169.421023,-8.764256,110.653593,54.485026,0.232419,13,327.7,69.8911,8.61,12.82,2004-06-10 07:56:09.421022892+00:00,False
1086866604.135376,-8.719466,110.256399,81.003906,0.155027,8,348.412,94.3807,32.43,27.88,2004-06-10 11:23:24.135375977+00:00,False
1086889530.57289,-8.687849,110.789474,46.74349,0.294366,28,315.587,60.1034,4.5,6.03,2004-06-10 17:45:30.572890043+00:00,False
1086934783.253921,-8.832759,110.125701,35.378255,0.21089,19,316.251,95.4208,5.61,12.49,2004-06-11 06:19:43.253921032+00:00,False
1086955347.905131,-8.440185,108.780892,41.143229,0.238681,10,335.81,150.661,21.96,35.02,2004-06-11 12:02:27.905131102+00:00,False
1086959271.985393,-8.778747,110.44699,36.943034,0.301076,28,309.905,77.5357,3.7,7.38,2004-06-11 13:07:51.985393047+00:00,False
1086991959.177242,-8.403299,110.554819,104.063802,0.234288,8,302.125,59.8745,36.05,29.08,2004-06-11 22:12:39.177242041+00:00,False
1086992507.253298,-8.326892,110.136732,85.780599,0.27763,25,266.317,43.1319,6.28,4.52,2004-06-11 22:21:47.253298044+00:00,False
1087001480.691772,-9.075154,110.568419,60.085286,0.450277,20,323.897,105.65,9.66,18.56,2004-06-12 00:51:20.691771984+00:00,False
1087028820.023654,-9.177909,111.852203,124.158854,0.545277,17,345.835,188.61,37.71,47.82,2004-06-12 08:27:00.023653984+00:00,False
1087046335.371807,-8.26761,110.284536,30.025065,0.200147,22,269.724,30.2067,2.56,2.82,2004-06-12 13:18:55.371807098+00:00,True
1087056554.348798,-8.932879,109.944262,33.73112,0.467605,42,311.466,112.615,5.52,13.89,2004-06-12 16:09:14.348798037+00:00,False
1087061612.643699,-8.453358,111.031634,85.451172,0.254202,13,325.622,44.1397,13.42,8.44,2004-06-12 17:33:32.643698931+00:00,False
1087062759.898485,-8.316353,111.26041,100.275391,0.22025,17,330.189,56.539,9.48,4.92,2004-06-12 17:52:39.898484945+00:00,False
1087074595.99917,-8.470484,110.20722,38.919596,0.306784,23,299.798,54.2491,4.2,5.11,2004-06-12 21:09:55.999170065+00:00,True
1087079468.084537,-7.504198,109.870866,12.853678,0.0737377,8,259.894,9.68728,2.21,2.07,2004-06-12 22:31:08.084537029+00:00,True
1087106981.889462,-8.403299,108.807681,86.933594,0.192152,12,341.035,150.085,20.5,33.28,2004-06-13 06:09:41.889461994+00:00,False
1087112132.634207,-8.718149,110.29505,28.048503,0.357313,40,298.299,75.9396,3.4,5.36,2004-06-13 07:35:32.634207010+00:00,True
1087144538.192501,-8.740544,110.363018,66.509115,0.180792,9,344.276,91.7319,18.71,21.71,2004-06-13 16:35:38.192501068+00:00,False
1087146662.407699,-8.708927,110.970747,38.83724,0.288071,9,335.632,81.3544,18.21,21.62,2004-06-13 17:11:02.407699108+00:00,False
