time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc
1086254393.459544,-8.281442,110.286529,29.983887,0.213395,15,275.649,31.6406,2.85,4.02,2004-06-03 09:19:53.459543943+00:00
1086319718.361753,-7.894138,109.862389,22.736491,0.19794,23,261.829,21.2559,2.63,2.89,2004-06-04 03:28:38.361752987+00:00
1086375189.837888,-8.325574,110.098122,29.530924,0.208381,22,290.415,45.5287,2.99,5.14,2004-06-04 18:53:09.837888002+00:00
1087046335.371807,-8.26761,110.284536,30.025065,0.200147,22,269.724,30.2067,2.56,2.82,2004-06-12 13:18:55.371807098+00:00
1087074595.99917,-8.470484,110.20722,38.919596,0.306784,23,299.798,54.2491,4.2,5.11,2004-06-12 21:09:55.999170065+00:00
1087079468.084537,-7.504198,109.870866,12.853678,0.0737377,8,259.894,9.68728,2.21,2.07,2004-06-12 22:31:08.084537029+00:00
1087112132.634207,-8.718149,110.29505,28.048503,0.357313,40,298.299,75.9396,3.4,5.36,2004-06-13 07:35:32.634207010+00:00
