time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc,quality_pass
1084543257.495986,-8.230077,110.300336,36.901855,0.10905,10,253.11,33.2013,3.38,3.22,2004-05-14 14:00:57.495985985+00:00,True
1084574182.416014,-8.832771,111.396559,26.483724,0.284466,23,331.376,92.03,7.09,11.02,2004-05-14 22:36:22.416013956+00:00,False
1084586934.803912,-8.195167,109.175031,70.297526,0.220396,10,304.869,67.045,13.35,16.64,2004-05-15 02:08:54.803911924+00:00,False
1084590085.795401,-8.055526,108.885444,95.498698,0.163206,9,329.433,78.3918,29.89,26.23,2004-05-15 03:01:25.795401096+00:00,False
1084599971.009764,-8.552172,110.40608,39.743164,0.32555,29,281.899,54.2676,3.71,4.85,2004-05-15 05:46:11.009763956+00:00,True
1084611028.636214,-8.881513,111.190009,32.989909,0.256327,25,326.278,85.0854,5.94,7.47,2004-05-15 08:50:28.636214018+00:00,False
1084616538.448688,-8.357203,110.488679,84.051107,0.232164,16,282.446,30.823,6.92,3.41,2004-05-15 10:22:18.448688030+00:00,False
1084617985.047944,-8.855166,110.424671,75.486003,0.378663,36,287.566,86.3346,7.14,11.16,2004-05-15 10:46:25.047944069+00:00,False
1084622209.359186,-8.864388,110.959318,34.719401,0.293598,16,323.459,91.734,7.14,12.64,2004-05-15 11:56:49.359185934+00:00,False
1084628766.172514,-8.047622,109.234057,78.533203,0.269533,12,299.258,49.723,21.1,16.39,2004-05-15 13:46:06.172513962+00:00,False
1084630434.308231,-8.860436,110.126016,24.918945,0.22714,21,313.764,98.3766,4.66,12.27,2004-05-15 14:13:54.308231115+00:00,False
1084632120.581273,-8.865705,110.128678,32.001628,0.334851,26,284.47,98.8116,4.18,9.85,2004-05-15 14:42:00.581273079+00:00,True
1084635910.867419,-8.506065,110.713787,39.990234,0.235545,16,326.576,40.4508,5.06,4.81,2004-05-15 15:45:10.867419004+00:00,False
1084641339.348916,-8.769537,110.671283,68.650391,0.297747,17,335.268,76.0709,12.15,15.63,2004-05-15 17:15:39.348916054+00:00,False
1084642582.967812,-8.374987,110.368173,21.99528,0.251718,33,258.137,38.584,1.99,3.88,2004-05-15 17:36:22.967812061+00:00,True
1084643896.203474,-8.2584,109.185469,59.097005,0.2952,25,303.894,72.6439,8.48,13.27,2004-05-15 17:58:16.203474045+00:00,False
1084647705.421894,-8.897322,110.507334,18.989258,0.494073,36,305.233,88.4509,4.79,9.96,2004-05-15 19:01:45.421894073+00:00,False
1084654393.769737,-8.707621,110.267439,37.931315,0.380196,26,296.853,76.1468,4.65,7.45,2004-05-15 20:53:13.769737005+00:00,True
1084670534.623486,-8.903909,112.236796,2.929688,0.227207,11,348.598,167.772,37.19,38.41,2004-05-16 01:22:14.623486042+00:00,False
1084687753.252845,-8.411214,108.897311,16.930339,0.47873,37,315.078,104.181,8.63,16.19,2004-05-16 06:09:13.252845049+00:00,False
1084695148.676731,-7.540437,111.689983,24.095378,0.363244,30,308.955,90.1706,5.9,7.41,2004-05-16 08:12:28.676731110+00:00,False
1084702450.002976,-8.704987,110.342072,47.155273,0.3967,27,295.885,72.6401,5.55,7.58,2004-05-16 10:14:10.002975941+00:00,False
1084708053.279309,-10.126422,111.001167,121.523437,0.389554,14,344.885,243.295,36.96,57.66,2004-05-16 11:47:33.279309034+00:00,False
1084713611.90147,-7.892173,108.976525,193.997396,0.155361,11,322.124,76.6326,71.05,44.09,2004-05-16 13:20:11.901469946+00:00,False
1084714006.701966,-8.355885,111.382115,133.382812,0.193276,8,343.969,80.613,62.38,35.89,2004-05-16 13:26:46.701966047+00:00,False
1084714121.060376,-9.03301,111.194299,21.871745,0.389833,20,325.405,100.92,7.94,14.37,2004-05-16 13:28:41.060375929+00:00,False
1084725104.012082,-8.571933,112.006102,80.345052,0.30847,9,346.891,126.967,24.09,28.42,2004-05-16 16:31:44.012082100+00:00,False
1084726889.111798,-9.409776,112.837501,72.768229,0.397059,19,348.279,253.926,34.38,48.18,2004-05-16 17:01:29.111798048+00:00,False
1084728967.135862,-8.172772,109.2137,68.238607,0.262029,28,298.226,62.7836,8.15,9.98,2004-05-16 17:36:07.135862112+00:00,False
1084732735.381049,-8.23337,109.194869,59.838216,0.348575,34,299.15,69.6994,6.81,10.98,2004-05-16 18:38:55.381048918+00:00,False
1084738515.890417,-7.879,108.941995,131.241536,0.390791,44,318.223,64.03,8.01,4.54,2004-05-16 20:15:15.890417099+00:00,False
1084743470.490335,-9.006663,111.023521,30.107422,0.270209,23,322.041,93.3121,6.58,9.01,2004-05-16 21:37:50.490334988+00:00,False
1084755744.794921,-8.047622,109.67045,94.67513,0.353527,24,297.136,72.7493,9.54,7.75,2004-05-17 01:02:24.794920921+00:00,False
1084769890.866493,-8.782711,111.484415,25.001302,0.274428,21,338.487,94.2125,8.83,9.61,2004-05-17 04:58:10.866492987+00:00,False
1084802973.004887,-8.295286,111.453868,119.711589,0.195035,21,338.223,58.9842,11.82,5.49,2004-05-17 14:09:33.004887104+00:00,False
1084809370.024592,-9.027741,111.226303,30.436849,0.214516,11,338.917,101.62,15.0,17.66,2004-05-17 15:56:10.024591923+00:00,False
1084810422.587666,-8.901274,111.327389,35.378255,0.316635,16,334.469,93.9851,10.91,13.02,2004-05-17 16:13:42.587666035+00:00,False
1084813928.642827,-8.276843,108.671553,131.735677,0.445093,23,317.087,140.132,26.85,46.35,2004-05-17 17:12:08.642827034+00:00,False
1084816679.67948,-8.670735,110.827151,90.474935,0.244346,24,311.141,55.0156,8.12,5.87,2004-05-17 17:57:59.679480076+00:00,False
1084826415.224628,-8.047622,109.292598,94.67513,0.325418,22,287.188,80.2359,13.87,20.49,2004-05-17 20:40:15.224627972+00:00,False
1084828277.838061,-8.776124,110.867233,37.272461,0.294712,21,317.782,70.6163,5.53,9.84,2004-05-17 21:11:17.838061094+00:00,False
1084847112.895397,-8.816963,111.428516,33.401693,0.277659,15,338.469,92.8776,11.9,17.56,2004-05-18 02:25:12.895396948+00:00,False
1084902236.028104,-8.716843,110.074183,26.154297,0.233369,21,312.449,84.9553,9.13,13.15,2004-05-18 17:43:56.028104067+00:00,False
1084933765.437634,-8.727382,111.209713,49.873047,0.319283,24,320.162,80.19,6.87,11.8,2004-05-19 02:29:25.437633991+00:00,False
1084963008.95755,-9.004028,110.428642,34.884115,0.429101,9,326.24,111.342,16.99,26.33,2004-05-19 10:36:48.957550049+00:00,False
1084989536.123273,-8.126664,111.288452,111.805339,0.259818,26,284.974,52.8059,7.11,3.69,2004-05-19 17:58:56.123272896+00:00,False
1085046780.787426,-10.126422,111.472217,16.106771,0.339078,11,350.703,246.688,43.73,66.65,2004-05-20 09:53:00.787425995+00:00,False
1085056746.316855,-8.386843,110.694412,41.184408,0.244357,24,280.442,28.0776,3.0,2.26,2004-05-20 12:39:06.316854954+00:00,True
1085065256.964329,-8.470496,110.784357,21.954102,0.27865,13,325.171,35.9291,4.58,8.52,2004-05-20 15:00:56.964329004+00:00,False
1085081451.75994,-8.102951,111.615745,113.617187,0.168464,8,353.874,88.8839,52.41,27.35,2004-05-20 19:30:51.759939909+00:00,False
1085086959.111192,-8.711573,109.450467,25.82487,0.222653,10,303.468,115.176,12.6,26.81,2004-05-20 21:02:39.111191988+00:00,False
1085088372.327878,-8.822232,110.916605,36.037109,0.244759,16,329.783,89.5454,6.87,11.86,2004-05-20 21:26:12.327877998+00:00,False
1085090430.146606,-9.936722,110.380306,147.877604,0.283067,13,338.521,206.142,36.55,57.33,2004-05-20 22:00:30.146605968+00:00,False
1085121168.806844,-9.098878,110.556703,30.93099,0.229961,14,325.143,111.917,9.95,20.27,2004-05-21 06:32:48.806843996+00:00,False
1085131920.291793,-8.146424,110.824044,98.051758,0.250734,27,149.21,5.3393,5.62,2.33,2004-05-21 09:32:00.291793108+00:00,False
1085135503.547197,-8.907861,110.627344,26.07194,0.346792,19,309.632,86.1143,4.9,11.29,2004-05-21 10:31:43.547197104+00:00,False
1085153375.766744,-7.707742,108.355048,193.667969,0.584851,18,332.479,138.358,37.86,29.03,2004-05-21 15:29:35.766743898+00:00,False
1085170732.150328,-9.325465,109.376594,249.341146,0.325147,9,347.693,205.862,76.2,69.13,2004-05-21 20:18:52.150327921+00:00,False
1085175689.301028,-8.513969,108.856923,35.213542,0.427285,8,319.237,115.926,19.56,32.29,2004-05-21 21:41:29.301028013+00:00,False
1085198654.897201,-9.138399,110.575389,24.836589,0.453732,19,317.837,116.299,8.55,19.32,2004-05-22 04:04:14.897201061+00:00,False
1085228994.112173,-7.909299,111.193598,15.530273,0.293316,13,250.741,27.0749,6.52,5.57,2004-05-22 12:29:54.112173080+00:00,False
1085237135.913556,-7.892173,110.14689,117.570312,0.241977,12,199.366,12.6901,16.84,4.61,2004-05-22 14:45:35.913556099+00:00,False
1085258132.155695,-7.660317,107.892717,166.325521,0.344532,11,348.143,187.045,86.74,49.74,2004-05-22 20:35:32.155694962+00:00,False
1085261635.659608,-7.744628,108.423994,232.210938,0.452155,11,346.653,173.59,84.99,54.37,2004-05-22 21:33:55.659607887+00:00,False
1085263546.732667,-8.694448,111.037735,98.710612,0.304797,32,314.14,59.7898,7.81,5.06,2004-05-22 22:05:46.732666969+00:00,False
1085263976.436317,-8.437562,109.06767,36.037109,0.408626,42,302.122,96.2776,4.8,14.01,2004-05-22 22:12:56.436316967+00:00,False
1085266121.098687,-8.110856,109.127405,87.757161,0.407317,16,309.946,62.3628,20.9,19.32,2004-05-22 22:48:41.098686934+00:00,False
1085266405.171929,-8.432292,109.078343,32.083984,0.41443,44,302.592,95.2071,5.11,14.7,2004-05-22 22:53:25.171928883+00:00,False
1085297250.130925,-8.6984,109.991577,34.22526,0.242907,18,307.513,86.8428,7.24,11.41,2004-05-23 07:27:30.130924939+00:00,False
1085298458.35947,-8.64834,109.972989,37.025391,0.205862,9,306.491,90.6326,9.78,18.11,2004-05-23 07:47:38.359469891+00:00,False
1085298701.279291,-8.653609,109.935671,39.990234,0.232125,11,308.314,85.6106,8.85,14.58,2004-05-23 07:51:41.279290915+00:00,False
1085326823.787768,-7.690287,110.017119,14.933187,0.24275,35,102.821,6.6918,0.85,1.21,2004-05-23 15:40:23.787767887+00:00,True
1085328249.098392,-7.613551,111.12732,9.065267,0.22995,25,266.029,2.77102,2.05,1.88,2004-05-23 16:04:09.098392010+00:00,True
1085335234.207274,-8.79325,110.833924,37.519531,0.31658,26,309.667,72.0867,4.79,7.35,2004-05-23 18:00:34.207273960+00:00,False
1085341457.87554,-8.174089,111.40034,120.69987,0.176043,8,331.241,48.2739,20.46,9.79,2004-05-23 19:44:17.875540018+00:00,False
1085346882.428648,-8.27355,110.292327,31.795736,0.211614,25,250.043,30.6362,2.38,2.4,2004-05-23 21:14:42.428647995+00:00,True
1085355567.855576,-8.257742,110.305647,33.031087,0.218768,12,256.842,28.6087,3.23,3.2,2004-05-23 23:39:27.855576038+00:00,True
1085374882.342887,-7.756485,111.339591,7.129883,0.221073,18,286.798,26.2397,3.14,4.91,2004-05-24 05:01:22.342886925+00:00,True
1085399799.143557,-9.050136,110.704765,21.295247,0.429536,40,310.323,100.676,5.31,7.73,2004-05-24 11:56:39.143557072+00:00,False
1085401001.512719,-8.394089,111.042636,107.605143,0.198629,33,308.61,29.7039,6.56,2.74,2004-05-24 12:16:41.512718915+00:00,False
1085403529.720093,-8.6681,109.502559,64.779622,0.528091,99,288.665,100.889,3.79,11.01,2004-05-24 12:58:49.720093012+00:00,False
1085426343.380761,-8.187263,108.357867,200.585938,0.258879,9,327.71,206.497,115.54,73.1,2004-05-24 19:19:03.380760908+00:00,False
1085426345.521436,-8.002832,108.41738,169.290365,0.494163,26,324.91,137.69,35.73,39.96,2004-05-24 19:19:05.521435976+00:00,False
1085428020.379609,-8.86834,111.123319,33.97819,0.370688,47,310.184,81.0699,4.01,5.71,2004-05-24 19:47:00.379609108+00:00,False
1085431750.756377,-8.247861,111.107658,120.69987,0.109156,8,317.145,25.952,22.82,6.65,2004-05-24 20:49:10.756376982+00:00,False
1085442632.911895,-7.815437,110.544208,20.368734,0.248125,21,138.685,11.0559,1.12,1.83,2004-05-24 23:50:32.911895037+00:00,True
1085443771.614652,-8.98822,112.578637,126.794271,0.491549,19,340.858,206.822,28.07,51.5,2004-05-25 00:09:31.614651918+00:00,False
1085458164.333642,-8.071993,110.179334,30.972168,0.356086,43,207.432,17.1501,2.3,1.99,2004-05-25 04:09:24.333642006+00:00,True
1085486751.783112,-8.806424,109.88745,35.048828,0.427476,20,285.919,102.872,7.63,18.07,2004-05-25 12:05:51.783112049+00:00,False
1085500237.979399,-8.210975,111.219406,91.051432,0.139289,8,330.708,32.3291,12.78,5.98,2004-05-25 15:50:37.979398966+00:00,False
1085500906.338948,-8.234688,112.207117,142.277344,0.190006,19,333.076,135.42,20.24,14.63,2004-05-25 16:01:46.338948011+00:00,False
1085514732.408297,-8.459957,110.733738,75.81543,0.346255,46,272.005,35.051,4.52,2.73,2004-05-25 19:52:12.408297062+00:00,True
1085518270.695127,-8.416484,109.094382,35.378255,0.414488,37,301.767,92.8326,5.26,13.47,2004-05-25 20:51:10.695127010+00:00,False
1085567088.432696,-8.479717,110.11707,71.944661,0.486109,71,253.755,58.9255,4.29,4.22,2004-05-26 10:24:48.432696104+00:00,True
1085579779.129455,-8.835406,111.23925,36.201823,0.166856,8,342.954,93.1112,26.52,21.94,2004-05-26 13:56:19.129455090+00:00,False
1085585587.11817,-8.412532,111.316991,134.288737,0.436275,61,305.197,54.3928,6.65,2.74,2004-05-26 15:33:07.118170023+00:00,False
1085586067.458868,-7.678431,109.916106,16.415609,0.201102,15,182.348,3.8029,1.37,1.2,2004-05-26 15:41:07.458868027+00:00,True
1085596376.0301,-8.034448,111.865675,133.71224,0.186781,11,339.266,97.0574,26.71,18.84,2004-05-26 18:32:56.030100107+00:00,False
1085598047.633109,-8.8881,110.748675,84.957031,0.33986,15,328.497,90.5721,13.59,18.54,2004-05-26 19:00:47.633109093+00:00,False
1085600587.992474,-7.660317,111.295536,249.341146,0.411324,11,317.874,54.1389,89.85,27.62,2004-05-26 19:43:07.992474079+00:00,False
1085606496.018697,-8.621993,111.188194,69.968099,0.215805,18,329.939,68.8272,9.38,9.05,2004-05-26 21:21:36.018697023+00:00,False
1085613303.48885,-9.18319,111.731048,-1.352865,0.497903,24,329.78,151.496,14.68,32.89,2004-05-26 23:15:03.488850117+00:00,False
1085661555.437958,-8.801154,110.244719,94.345703,0.391085,18,304.715,93.4564,18.71,24.75,2004-05-27 12:39:15.437958002+00:00,False
1085673154.753283,-7.623431,109.142306,237.152344,0.157633,12,337.831,49.2888,67.14,21.03,2004-05-27 15:52:34.753283024+00:00,False
1085674017.962704,-8.484987,108.939627,62.720703,0.36702,19,310.384,108.064,8.42,18.27,2004-05-27 16:06:57.962703943+00:00,False
