time_utc,latitude,longitude,depth,errh_km,errz_km,nbranch,cid,id,rmsP,rmsS
2004-06-04T16:29:07.970000Z,-8.15433,110.59249,123.253,-1.0,-1.0,1,31,56,0.0,0.0
2004-06-04T18:53:09.839000Z,-8.32625,110.10191,29.984,-1.0,-1.0,1,56,57,0.0,0.0
2004-06-04T21:04:22.958000Z,-8.30142,110.9593,20.508,0.059,0.042,2,25,58,0.03,0.02
2004-06-05T01:03:20.719000Z,-8.48762,110.19432,79.686,-1.0,-1.0,1,58,59,0.0,0.0
2004-06-07T10:14:13.982000Z,-8.00481,111.21172,13.018,-1.0,-1.0,1,59,60,0.0,0.0
2004-06-07T12:06:34.393000Z,-8.8499,110.41667,80.098,-1.0,-1.0,1,60,61,0.0,0.0
2004-06-08T11:03:49.577000Z,-8.77283,110.45868,36.984,-1.0,-1.0,1,61,62,0.0,0.0
2004-06-08T15:22:29.691000Z,-8.22547,110.81612,87.675,-1.0,-1.0,1,252,63,0.0,0.0
2004-06-09T15:22:23.821000Z,-8.38091,110.70706,30.025,-1.0,-1.0,1,303,64,0.0,0.0
2004-06-09T17:33:09.958000Z,-8.23601,111.42311,122.924,-1.0,-1.0,1,257,65,0.0,0.0
2004-06-09T19:42:15.915000Z,-8.40199,110.29958,104.476,-1.0,-1.0,1,239,66,0.0,0.0
2004-06-09T23:18:43.647000Z,-8.20571,109.65948,85.781,-1.0,-1.0,1,223,67,0.0,0.0
2004-06-10T04:04:49.019000Z,-8.89469,110.16598,22.613,-1.0,-1.0,1,208,68,0.0,0.0
2004-06-10T04:34:58.386000Z,-8.33612,109.64455,59.838,-1.0,-1.0,1,187,69,0.0,0.0
2004-06-10T12:20:46.587000Z,-7.37259,109.36516,14.032,0.492,0.291,2,16,70,0.04,0.24
2004-06-11T15:56:02.736000Z,-8.14774,110.86796,97.64,-1.0,-1.0,1,137,71,0.0,0.0
2004-06-11T17:31:51.776000Z,-7.38433,109.37751,18.454,-1.0,-1.0,1,287,72,0.0,0.0
2004-06-11T22:21:47.281000Z,-8.31768,110.15051,86.522,-1.0,-1.0,1,131,73,0.0,0.0
