time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc
1086802389.957527,-8.236005,111.423109,122.923503,0.358581,57,279.906,53.128,4.26,2.34,2004-06-09 17:33:09.957526922+00:00
1086840289.018871,-8.894687,110.165984,22.612956,0.447627,62,286.331,99.7276,3.07,3.87,2004-06-10 04:04:49.018871069+00:00
1086842098.385991,-8.336125,109.644553,59.838216,0.315885,40,263.85,70.9706,4.92,9.16,2004-06-10 04:34:58.385991096+00:00
1086870046.485676,-7.371156,109.360276,14.006673,0.18583,19,265.818,22.7686,1.89,2.94,2004-06-10 12:20:46.485676050+00:00
1086975111.775894,-7.384329,109.377511,18.453939,0.116768,13,259.537,20.8605,2.39,2.91,2004-06-11 17:31:51.775893927+00:00
1087046335.314651,-8.270915,110.287003,30.478027,0.223581,24,259.986,30.4914,2.58,2.64,2004-06-12 13:18:55.314651012+00:00
1087074595.94587,-8.4784,110.219629,39.08431,0.329544,25,285.279,54.6961,4.46,5.2,2004-06-12 21:09:55.945869923+00:00
1087079467.889416,-7.498281,109.86154,13.224284,0.146228,12,133.859,4.16948,2.45,2.98,2004-06-12 22:31:07.889415979+00:00
1087112132.436547,-8.728699,110.312741,20.96582,0.453101,60,291.646,76.2621,2.73,4.76,2004-06-13 07:35:32.436547041+00:00
1087157162.348301,-6.804031,111.938804,10.01237,0.414668,38,295.018,46.1924,3.92,4.23,2004-06-13 20:06:02.348300934+00:00
1087190041.139575,-8.423071,110.619187,32.989909,0.241203,16,290.662,40.6529,3.45,5.08,2004-06-14 05:14:01.139575005+00:00
1087206457.563268,-8.244568,110.308315,33.278158,0.0660854,9,254.807,27.1149,3.65,2.88,2004-06-14 09:47:37.563267946+00:00
1087231766.62024,-5.677026,110.525139,2.723796,0.270637,19,268.025,24.0938,2.97,2.68,2004-06-14 16:49:26.620239973+00:00
1087291745.591813,-7.545048,111.241502,13.183105,0.264592,19,230.638,15.7011,2.54,1.94,2004-06-15 09:29:05.591813087+00:00
1087291952.221108,-7.527922,111.264063,13.265462,0.389103,51,195.729,17.4961,2.0,2.06,2004-06-15 09:32:32.221107960+00:00
1087310311.183372,-7.375108,109.376206,15.571452,0.161807,10,261.102,20.9997,2.73,4.1,2004-06-15 14:38:31.183372021+00:00
1087332964.013629,-8.285406,110.298977,29.983887,0.244654,24,260.995,31.7687,2.71,3.36,2004-06-15 20:56:04.013628960+00:00
1087418963.194795,-8.407262,110.669786,29.860352,0.246632,15,283.355,50.0067,3.71,8.32,2004-06-16 20:49:23.194794893+00:00
1087575426.51815,-8.353909,109.687787,64.985514,0.429579,99,261.916,61.3327,2.45,3.38,2004-06-18 16:17:06.518150091+00:00
1087591082.724887,-8.120077,110.584496,88.663086,0.223494,29,195.584,3.36967,4.03,2.31,2004-06-18 20:38:02.724886894+00:00
1087648108.516123,-8.506065,110.953549,20.883464,0.286078,28,297.537,37.1929,2.83,4.27,2004-06-19 12:28:28.516123055+00:00
1087686079.305857,-8.594328,110.310142,71.862305,0.483671,52,264.612,62.7849,4.92,5.46,2004-06-19 23:01:19.305856943+00:00
1087694087.940444,-8.897322,110.133979,31.013346,0.426171,42,287.904,101.607,3.51,7.13,2004-06-20 01:14:47.940443993+00:00
1087717060.299515,-8.415825,110.784982,29.819173,0.168963,14,280.883,29.8549,3.2,3.56,2004-06-20 07:37:40.299515009+00:00
1087721478.175776,-8.255107,110.313635,44.643392,0.231403,21,243.22,28.1629,3.03,2.27,2004-06-20 08:51:18.175776005+00:00
1087755867.941009,-8.228101,110.39817,32.660482,0.214904,21,246.603,24.3428,2.62,1.99,2004-06-20 18:24:27.941009045+00:00
1087799782.708326,-8.25379,110.300324,32.45459,0.0932004,14,256.693,28.2985,3.03,2.36,2004-06-21 06:36:22.708326101+00:00
1087824510.477504,-7.782173,111.200699,16.806803,0.208262,15,243.142,12.4168,2.95,1.98,2004-06-21 13:28:30.477504015+00:00
1087870569.846434,-8.264328,110.304312,30.642741,0.217771,20,253.204,29.3556,3.02,2.73,2004-06-22 02:16:09.846434116+00:00
1087899473.412366,-8.275526,110.27036,33.319336,0.0314325,8,261.854,31.4863,3.87,4.06,2004-06-22 10:17:53.412365913+00:00
1087907555.648595,-8.303849,110.963297,19.112793,0.204117,15,298.707,26.9912,2.75,3.58,2004-06-22 12:32:35.648595095+00:00
1087922036.785005,-7.462383,109.914405,9.332926,0.353827,62,57.5871,4.55482,0.85,1.09,2004-06-22 16:33:56.785005093+00:00
1087939139.690058,-6.360079,110.912888,4.000326,0.242784,19,258.629,7.12292,2.36,1.86,2004-06-22 21:18:59.690057993+00:00
1088010588.776041,-8.413191,111.140543,23.477702,0.252474,28,298.135,38.5195,2.58,4.08,2004-06-23 17:09:48.776041031+00:00
1088080619.551145,-7.843431,110.712099,39.08431,0.325044,12,189.711,5.2923,4.43,2.83,2004-06-24 12:36:59.551145077+00:00
1088109074.672215,-8.337442,109.254439,57.779297,0.321211,44,294.513,77.7674,4.17,9.22,2004-06-24 20:31:14.672214985+00:00
1088143085.633312,-8.217562,110.73093,122.264648,0.269008,38,223.771,9.21283,4.77,2.17,2004-06-25 05:58:05.633311987+00:00
